Metric,Value
timing__hold__ws__corner:max_tt_025C_1v80,0.3650888028564707
timing__setup__ws__corner:max_tt_025C_1v80,10.718588098253408
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.365089
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,16.258930
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,39
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,39
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,67
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.281693620847058
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.2803439781890019
timing__hold__ws__corner:max_ff_n40C_1v95,0.12674600616684498
timing__setup__ws__corner:max_ff_n40C_1v95,11.047859828566017
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.126746
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,17.517965
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,39
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,39
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:max_ss_100C_1v60,1.59962
design_powergrid__drop__average__net:VPWR__corner:max_ss_100C_1v60,1.5999
design_powergrid__drop__worst__net:VPWR__corner:max_ss_100C_1v60,0.00037711
design_powergrid__voltage__worst__net:VGND__corner:max_ss_100C_1v60,0.000311976
design_powergrid__drop__average__net:VGND__corner:max_ss_100C_1v60,0.0000995617
design_powergrid__drop__worst__net:VGND__corner:max_ss_100C_1v60,0.000311976
design_powergrid__voltage__worst,0.000311976
design_powergrid__voltage__worst__net:VPWR,1.59962
design_powergrid__drop__worst,0.00037711
design_powergrid__drop__worst__net:VPWR,0.00037711
design_powergrid__voltage__worst__net:VGND,0.000311976
design_powergrid__drop__worst__net:VGND,0.000311976
ir__voltage__worst,1.600000000000000088817841970012523233890533447265625
ir__drop__avg,0.000101000000000000001994064635635339755026507191359996795654296875
ir__drop__worst,0.0003770000000000000022100377083944522382807917892932891845703125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
