Metric,Value
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.049431
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,15.721121
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,2456
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,2456
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:max_ss_100C_1v60,1.59954
design_powergrid__drop__average__net:VPWR__corner:max_ss_100C_1v60,1.59996
design_powergrid__drop__worst__net:VPWR__corner:max_ss_100C_1v60,0.000464623
design_powergrid__voltage__worst__net:VGND__corner:max_ss_100C_1v60,0.000399227
design_powergrid__drop__average__net:VGND__corner:max_ss_100C_1v60,0.0000424843
design_powergrid__drop__worst__net:VGND__corner:max_ss_100C_1v60,0.000399227
design_powergrid__voltage__worst,0.000399227
design_powergrid__voltage__worst__net:VPWR,1.59954
design_powergrid__drop__worst,0.000464623
design_powergrid__drop__worst__net:VPWR,0.000464623
design_powergrid__voltage__worst__net:VGND,0.000399227
design_powergrid__drop__worst__net:VGND,0.000399227
ir__voltage__worst,1.600000000000000088817841970012523233890533447265625
ir__drop__avg,0.0000408999999999999980433186552719604378580697812139987945556640625
ir__drop__worst,0.000465000000000000027026991755718654530937783420085906982421875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
